Course_ID,Course_Name,Category,Level,Duration,Format,Description,Prerequisites,Manager_Pairing,Triggers,External_Resource_URL,External_Resource_Name
CX-101,First Impressions: Opening Calls with Impact,Customer Experience,Foundation,30 min,eLearning,Learn to create positive first impressions that set the tone for successful customer interactions.,None,None,Low CSAT; Low NPS; New starter,https://alison.com/course/introduction-to-customer-service-excellence,Alison: Customer Service Excellence
CX-102,Building Rapport in 60 Seconds,Customer Experience,Foundation,45 min,eLearning,Master techniques to quickly establish trust and connection with customers.,CX-101,None,Low CSAT; Low NPS,https://blog.hubspot.com/service/free-customer-service-training-materials,HubSpot: Customer Service Training
CX-201,Active Listening for Customer Needs,Customer Experience,Intermediate,1 hr,Workshop,Develop deep listening skills to truly understand what customers need.,CX-102,None,Low CSAT; Low FCR,https://www.mindtools.com/an0fzpz/the-grow-model-of-coaching-and-mentoring,MindTools: GROW Model Guide
CX-202,Empathy in Difficult Conversations,Customer Experience,Intermediate,1.5 hr,Workshop,Handle emotionally charged interactions with genuine empathy and care.,CX-201,None,High complaint rate; Low CSAT,https://www.pon.harvard.edu/daily/dealing-with-difficult-people-daily/deal-with-difficult-customers/,Harvard: Dealing with Difficult People
CX-203,Turning Detractors into Promoters,Customer Experience,Intermediate,1 hr,eLearning,Transform negative customer experiences into loyalty-building moments.,CX-202,MGR-201,Low NPS; High complaint rate,https://www.salesforce.com/service/contact-center/first-call-resolution/,Salesforce: First Call Resolution Guide
CX-301,Customer Advocacy Masterclass,Customer Experience,Advanced,Half-day,Workshop,Become a champion for customer-centric service excellence.,CX-203; NPS above target 2 months,MGR-303,Role model development,https://www.calabrio.com/wfo/managing-remote-workforce/managing-mental-health-in-the-contact-center/,Calabrio: Contact Centre Wellbeing
CX-302,Memorable Service: Creating Wow Moments,Customer Experience,Advanced,2 hr,Coaching Circle,Learn to exceed expectations and create memorable customer experiences.,CX-301,None,High performer development,https://alison.com/course/introduction-to-customer-service-excellence,Alison: Customer Service Excellence
CX-303,Voice of Customer Champion Certification,Customer Experience,Advanced,Full day,Workshop,Become certified to lead customer experience initiatives in your team.,CX-302; Manager nomination,MGR-303,Role model certification,https://blog.hubspot.com/service/free-customer-service-training-materials,HubSpot: Customer Service Resources
QC-101,Call Quality Framework Essentials,Quality,Foundation,1 hr,eLearning,Understand the quality framework and what good looks like on every call.,None,None,Quality below target; New starter,https://www.callcentrehelper.com/employee-well-being-how-to-reduce-contact-centre-stress-161037.htm,Call Centre Helper: Quality & Wellbeing
QC-102,Documentation and Note-Taking Standards,Quality,Foundation,45 min,eLearning,Master accurate and efficient call documentation practices.,QC-101,None,Quality below target; High ACW,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: FCR Best Practices
QC-201,Quality Self-Assessment Skills,Quality,Intermediate,1 hr,eLearning,Learn to evaluate and improve your own call quality.,QC-102; Review 3 calls with manager,MGR-301,Quality plateau,https://www.mindtools.com/an0fzpz/the-grow-model-of-coaching-and-mentoring,MindTools: GROW Model
QC-202,Error Prevention Strategies,Quality,Intermediate,1.5 hr,Workshop,Identify common error patterns and develop prevention techniques.,QC-201,None,Critical errors; Quality below target,https://www.callcentrehelper.com/training-cheat-sheet-handling-difficult-customers-25175.htm,Call Centre Helper: Training Resources
QC-301,Quality Coaching for Peers,Quality,Advanced,Half-day,Workshop,Develop skills to support and coach colleagues on quality.,QC-202; Quality 90%+ for 3 months,MGR-301,Peer mentor development,https://www.togetherplatform.com/blog/coaching-for-managers,Together Platform: Coaching Skills
QC-302,QA Calibration Participant,Quality,Advanced,2 hr,Workshop,Join quality calibration sessions and contribute to standards.,QC-301,MGR-301,Role model development,https://www.indeed.com/career-advice/career-development/manager-coaching-skills,Indeed: Coaching Skills
